newsdate,content,tag
20231013,英競争・市場庁（ＣＭＡ）は13日、米マイクロソフトによる690億ドル（約10兆3000億円）規模の米ゲームソフト会社アクティビジョン・ブリザード買収計画を承認した。ゲーム業界で過去最大規模となる買収完了に立ちはだかっていた世界的に大きな規制上の最後の障壁が取り除かれることになる。　　ＣＭＡは同日の声明で、ゲームの一部権利を仏ユービーアイソフト・エンターテインメントに売却するとしたマイクロソフトの修正案は競争上の懸念を払拭（ふっしょく）したと説明した。関連記事マイクロソフトのアクティビジョン買収、英当局は承認も－計画修正で原題：Microsoft’s $69 billion Activision Blizzard Deal Cleared by UK（抜粋）,reuters
20231013,トヨタ自動車は13日、既に一部で導入している国内の受注から生産、輸送、納車までを統合管理するシステムを年末までに全店舗に展開していく方針を明らかにした。　　国内販売事業本部本部長を務める友山茂樹氏によると、Ｊ－ＳＬＩＭ（ジェイスリム）と呼ばれる同管理システムの導入により、販売店では出荷までの期間が長期化している際でも納期を顧客に示すことができる。また、同システムでは生産から納車までの過程で滞留している車や生産制約の「見える化」も可能で、これについては既に全車種で適用されているという。　　コロナ禍の物流の混乱や半導体不足による生産制約で自動車業界では受注残が積み上がり、納車までの期間が長期化するといった問題が生じていた。状況は改善傾向にあり、友山氏が説明会で示したデータによると、トヨタブランドで１月時点に国内で93万台以上あった受注残数は約75万台まで減少している。　　友山氏は、年初からトヨタは挽回生産を始めており、同じく１月に稼働したＪ－ＳＬＩＭは増産した車両を着実に納車までつなげるといった部分で「かなり寄与した」と語った。関連記事：トヨタの８月世界販売は9.4％増の92万3180台、半導体不足が緩和トヨタ新型「ランクル」人気過熱、納車は４年後も－高額転売の懸念,reuters
20231013,あおぞら銀行傘下のＧＭＯあおぞらネット銀行とインターネットイニシアティブ（ＩＩＪ）、ディーカレットＤＣＰは12日、ブロックチェーン技術を用いたデジタル通貨サービスを共同推進することで合意したと発表した。来年７月のサービス開始を目指す。　　ＩＩＪが手掛ける化石燃料由来ではないことを示す「非化石証書」などの環境価値をデジタル資産化し、ＧＭＯあおぞらネット銀が発行するデジタル通貨を用いて取引や決済を行う。     非化石証書の発行などは紙でのやりとりが中心だが、デジタル化やデジタル通貨での決済ができるようになれば、より迅速な発行や取引が可能となる。カーボンニュートラルに取り組む多くの企業が環境価値のデジタル化に注目しているといい、そうした企業のニーズに応える。     今回のサービスは、メガバンクや野村ホールディングスなどが参加するデジタル通貨フォーラムが検討を行ってきた管理システムを活用する第一弾となる。同システムをディーカレットが提供する。　　ディーカレットが提供するシステムは、法定通貨を裏付け資産とするステーブルコインとは異なり、銀行預金をブロックチェーン上でデジタル通貨にするもの。企業は決済関連の金融ライセンスの取得や登録をせずにデジタル通貨を送金することができるほか、大口決済にも利用可能だという。,reuters
20231013,"アルゼンチンの中央銀行は12日、今年６回目となる大幅利上げを実施した。大統領選挙を前に物価上昇率が100％を超えて加速し続けており、利上げでインフレ抑制に取り組む。　　声明によると、中銀は政策金利を15ポイント引き上げ133％とした。同日に発表された９月の消費者物価指数（ＣＰＩ）は前年同月比138.3％上昇と、アルゼンチンがハイパーインフレから脱却した1990年代初頭以来の高水準となった。Argentina Consumer Prices Rose 12.7% in SeptemberMonthly inflation hits double-digit pace for second straight monthSources: National statistics agency, Bloomberg原題：Argentina Central Bank Hikes Rate to 133% After Inflation Data（抜粋）",reuters
20231013,イタリア債のスプレッドは拡大しているが不安な水準ではなく、欧州中央銀行（ＥＣＢ）の介入が必要になることはないだろうと、ＥＣＢ政策委員会メンバーのビスコ・イタリア中銀総裁が語った。　　「実際のところ、そのような兆しは一切ない」とビスコ氏は13日、マラケシュでブルームバーグテレビジョンのインタビューに応えて発言。ただ、もし中銀の介入が必要となるなら、「それは可能だと思う」と述べた。　　イタリア政府が欧州連合（ＥＵ）の定める財政赤字制限の達成時期を１年遅らせて2026年とする予算案を発表して以降、イタリア債とドイツ債のスプレッドは拡大を続けている。この予算案では今年の財政赤字が国内総生産（ＧＤＰ）比5.3％、来年が4.3％になる見通しで、メローニ首相に減税とその他の公約の実現を可能にしている。　　ビスコ氏は「自分の印象では財政に慎重さは必要だが、今後数年については歳出構成を改善する以外に、財政的な余裕を増やすためにできることが実際なくはない。イタリアはもっと成長できる。自分が思うに市場が懸念している主な理由は、イタリア経済の成長能力だ」と論じた。原題：Visco Says No Signs Italy Spreads to Reach Level for ECB Action（抜粋）,reuters
20231013,来週のドル・円はもみ合いとなりそうだ。小売売上高など米国の経済指標は総じて弱めの予想で、ドルの上値を抑えるとみられる。一方で、日米金利差の下支え効果は高く、方向感が出づらい展開が見込まれている。市場関係者の見方オーストラリア・ニュージーランド銀行外国為替・コモディティ営業部の町田広之ディレクター基本的に米国のインフレ指標、景気指標共に右肩下がりだと思うが、将来的な利下げの織り込みが行き過ぎている分、米金利が戻り、ドル・円も戻りやすく、方向感が出づらくなっている米指標は米国が高金利を長期間維持するには十分とみられ、ドル・円は148～150円のレンジでもみ合いそう日本の消費者物価指数（ＣＰＩ）は前月より強いと円買いで反応しそうだが、それに向けて備えているわけでもないため、弱くてもそこまで反応はないだろうしんきんアセットマネジメント投信の加藤純チーフマーケットアナリスト米ＣＰＩは予想は上回ったが鈍化傾向は続いており、中途半端な結果。その意味でドル・円は上値を試すのが難しい感じになっている中長期的にはプラスの米実質金利とマイナスの日本の同金利の差でドル・円は上昇圧力があるが、短期的には中東情勢や景気リスクから緩やかに上値が重くなりそうだ来週は149円を挟んで１円程度がコアなレンジになるのではないかドル・円午後３時48分時点週間予想（ブルームバーグ為替レート予想モデル）１ドル＝147円92銭－151円27銭１週間物予想変動率6.9050％１週間物リスクリバーサル1.1925％の円コールオーバー来週の注目材料17日：９月の米小売売上高19日：米連邦準備制度理事会（ＦＲＢ）のパウエル議長がニューヨークのエコノミッククラブで講演20日：９月の全国ＣＰＩ来週の主な予定16日：10月の米ニューヨーク連銀製造業景気指数要人発言：フィラデルフィア連銀のハーカー総裁17日：９月の米鉱工業生産要人発言：ニューヨーク連銀のウィリアムズ総裁、ＦＲＢのボウマン理事、リッチモンド連銀のバーキン総裁18日：９月の米住宅着工件数、米ベージュブック、米20年国債入札要人発言：ＦＲＢのウォラー理事、クック理事19日：米新規失業保険申請件数、10月の米フィラデルフィア連銀製造業指数、９月の米中古住宅販売件数、米５年インフレ連動国債入札要人発言：ＦＲＢのジェファーソン副議長、バー副議長（銀行監督担当）、シカゴ連銀のグールズビー総裁、アトランタ連銀のボスティック総裁、ダラス連銀のローガン総裁,reuters
20231013,10月第３週（16－20日）の債券市場では長期金利が上昇すると予想される。米国の長期金利の再上昇が警戒される上、17日の20年国債入札は十分な需要が集まるか不透明だ。日本銀行の金融政策決定会合を月末に控え、政策修正観測が投資家の慎重な姿勢につながるとの見方もある。市場参加者の見方◎ＳＢＩ証券の道家映二チーフ債券ストラテジスト９月の米消費者物価指数（ＣＰＩ）はサービス価格が上昇。足元の雇用動向を踏まえると再加速するリスクもあるパウエル米連邦準備制度理事会（ＦＲＢ）議長の19日の講演はタカ派的ではないだろうが、11月１日の米連邦公開市場委員会（ＦＯＭＣ）と四半期定例入札の増発も意識され、米金利は下がりにくいだろう海外金利に不透明感が強い上、月末の日銀会合では緩和バイアスの削除や物価見通しの引き上げが警戒されるため、20年債入札で銀行勢も含めて投資家の十分な需要が集まるか不安だ新発10年国債利回りの予想レンジは0.75－0.79％◎岡三証券の鈴木誠債券シニアストラテジスト中東情勢を背景に国債は安全資産としての需要が見込まれ、相場は底堅く推移するとみているが、日銀政策修正の警戒感も続いており、上値を買い進む動きは限られる米国はＣＰＩを受けて年内利上げ観測が残る。米金利上昇や円安が警戒される中、国内のＣＰＩの伸びが鈍化しても、日銀の政策修正観測が後退することはないだろう20年債入札は無難に消化されるとみているが、月末に向けて主要国の金融政策会合が予定されており、投資家は徐々に様子見姿勢を強めるだろう新発10年国債利回りの予想レンジは0.73－0.79％国債入札 対象年限発行予定額17日20年利付国債入札１兆2000億円程度19日流動性供給入札（残存期間５年超15.5年以下）5000億円程度日銀買い入れ 対象年限前回の買い入れ額16日１年超３年以下３年超５年以下５年超10年以下25年超4250億円4500億円6750億円1000億円主な材料17日：９月の米小売売上高18日：米地区連銀経済報告（ベージュブック）公表19日：日銀支店長会議、地域経済報告（さくらリポート）公表19日：パウエルＦＲＢ議長、講演20日：９月の全国消費者物価指数（ＣＰＩ）,reuters
20231013,"マッコーリー・アセット・マネジメント（ＭＡＭ）は、アジア太平洋地域のインフラ事業や世界の再生可能エネルギー関連事業などに特化したファンド３本で、総額最大115億ドル（約１兆7200億円）を調達するため投資家と交渉中だ。事情に詳しい複数の関係者が明らかにした。　　オーストラリアの投資銀行マッコーリー・グループの資産運用部門であるＭＡＭは、40億ドル規模のアジア太平洋インフラ関連ファンドの新規設定について、リミテッドパートナー（有限責任投資家）の候補と話し合いを進めている。交渉は部外秘だとして匿名を条件に関係者が語った。　　関係者によると、同社は世界の再エネ関連ファンド２本でも資金調達を進めている。１本は風力や太陽光発電といった既存の再エネプロジェクト向けのビークルで、規模は最大50億ドルになる可能性があるという。もう１本は、蓄電池や水力発電など次世代エネルギー関連のベンチャー事業に特化したファンドで、調達資金は最大25億ドルになる公算だという。関係者の１人によると、両ファンドはすでに投資を開始している。マッコーリーの広報担当はコメントを控えた。　　ＭＡＭは2023年３月末までの会計年度に幅広いプライベート市場戦略を求める顧客から新規エクイティーで過去最高の382億豪ドル（約３兆6200億円）を調達しており、今回の資金調達計画は野心的な内容といえる。マッコーリーのウェブサイトによると、ＭＡＭは世界で約8710億豪ドルの資産を運用しており、40年までに投資ポートフォリオ全体における温室効果ガス排出量のネットゼロ目標達成に向けて取り組んでいる。　　マッコーリーのグリーン・インベストメント・グループ責任者であるマーク・ドゥーリー氏は今月のブルームバーグとのインタビューで、リミテッドパートナーの間では、次世代のグリーン資産への需要が高まっていると指摘した。原題：Macquarie Seeks $11 Billion for Asia Infrastructure, Green Funds（抜粋）",reuters
20231013,今年のノーベル経済学賞授賞が決まったクラウディア・ゴールディン氏は、米企業に対し働き方の柔軟性を維持するよう助言した。　　ゴールディン氏は12日のブルームバーグテレビジョンとのインタビューで、オフィス勤務への復帰により働く女性などの活躍が損なわれてはならないとの見解を示した。多くの企業は数日間のリモート勤務が可能なハイブリッド型の働き方を引き続き提供しており、出張の需要も減っていることを理由に挙げた。　　ハーバード大学で経済学教授を務めるゴールディン氏は、男女の賃金格差や雇用格差の要因など、女性の労働力に関する研究が評価され、９日にノーベル経済学賞の受賞が決まった。同賞での女性受賞者は同氏で３人目となる。今年のノーベル経済学賞授賞が決まったゴールディン氏 　　ゴールディン氏はより高い賃金とより幅広い責任を伴うものの時間的な要求が高い「貪欲な仕事」について、「足元では出張がある程度減らされているため、私が貪欲な仕事と呼ぶ労働はより柔軟なものになるだろう」と指摘。 「それと同時に、生産性が向上している柔軟な仕事もある」と述べた。　　同氏は、企業が従業員にオフィス勤務への復帰を求めているとしても、出張が以前と同じような頻度で行われるようになるとは限らないとの見方を示した。関連記事ノーベル経済学賞にゴールディン氏、男女の賃金格差要因を研究原題：Nobel Prize Laureate Goldin Says ‘Greedy Jobs’ More Flexible Now（抜粋）,reuters
20231013,パレスチナ自治区ガザを実効支配するイスラム組織ハマスによるイスラエル奇襲攻撃が地域紛争にエスカレートすれば、日本経済や日本銀行の金融政策に影響が生じる可能性がある。資源エネルギー庁によれば、日本の原油輸入の約95％は中東地域からだ。　　原油供給に混乱が生じて大幅なインフレ高進圧力が加われば、日銀に緩和策からの転換を迫る引き金となりかねない。これは確率は低いが現実化すれば影響が甚大なテールリスクだと、ブルームバーグ・エコノミクス（ＢＥ）は現時点でみている。　　ただ過去の事例を踏まえると、日銀が新たな「石油ショック」を警戒する可能性も十分あるだろう。原油高はこれまでのところ緩やか Source: Bloomberg日銀が原油相場に敏感なのは過去の事例から分かる。例えば、2016年にイールドカーブコントロール（長短金利操作、ＹＣＣ）政策を導入した際、それまでの量的・質的金融緩和の下で２％の物価安定の目標実現が阻まれた一因として、原油相場下落を挙げた現時点では、日銀が原油高を緩和策の解除開始の機会と捉える可能性が、リスクの一つと考えられる日本は中東からの原油輸入への依存度が高く、石油ショックに特に脆弱（ぜいじゃく）だ。1973年10月の「第４次中東戦争」を契機とした物価高騰により、第２次世界大戦後の日本の２桁成長に終止符が打たれた。日本のインフレ率は74年に23％と、米国の約２倍に達した関連記事：原油先物が５％急伸、ハマスのイスラエル攻撃で中東情勢緊迫化原題：JAPAN INSIGHT: Hamas Attack Puts Oil-Shock Risk on BOJ Radar (1)（抜粋）,reuters
