日付,始値,高値,安値,終値,前日比,前日比％,売買高(株)
23/11/07,34500,34710,34370,34400,-320,-0.9,912700
23/11/06,34740,34960,34560,34720,540,1.6,1307500
23/11/02,34500,34560,33960,34180,370,1.1,1114900
23/11/01,33610,33810,33380,33810,790,2.4,1116500
23/10/31,32900,33300,32590,33020,120,0.4,1456400
23/10/30,32990,32990,32630,32900,-460,-1.4,1028200
23/10/27,32990,33560,32970,33360,220,0.7,1199100
23/10/26,33470,33620,33080,33140,-870,-2.6,1266600
23/10/25,34030,34260,33790,34010,120,0.4,1103000
23/10/24,33730,33980,33260,33890,580,1.7,1559000
23/10/23,33940,33940,33230,33310,-530,-1.6,1031900
23/10/20,34090,34170,33710,33840,-520,-1.5,1279400
23/10/19,34890,34960,34350,34360,-950,-2.7,1120900
23/10/18,35400,35450,34890,35310,10,0.0,1105500
23/10/17,35460,35650,34860,35300,290,0.8,1152400
23/10/16,35430,35780,34930,35010,-680,-1.9,1878900
23/10/13,34630,35850,34630,35690,1940,5.7,3948500
23/10/12,33500,33760,33170,33750,410,1.2,1869700
23/10/11,32750,33390,32710,33340,660,2.0,1533700
23/10/10,31920,32770,31920,32680,1130,3.6,1318900
23/10/06,31450,31730,31310,31550,-200,-0.6,877200
23/10/05,31560,31750,31260,31750,390,1.2,1418900
23/10/04,31160,31700,31140,31360,-620,-1.9,1662900
23/10/03,32320,32360,31830,31980,-490,-1.5,1696500
23/10/02,32970,33520,32470,32470,-120,-0.4,1529600
23/09/29,32640,32680,32330,32590,60,0.2,2563800
23/09/28,33110,33200,32350,32530,-620,-1.9,1735600
23/09/27,33380,33420,32840,33150,-510,-1.5,1608300
23/09/26,34050,34060,33630,33660,-340,-1.0,807100
23/09/25,34020,34100,33580,34000,-20,-0.1,954000
23/09/22,33900,34340,33860,34020,-300,-0.9,1097300
23/09/21,34610,34930,34260,34320,-380,-1.1,1217400
23/09/20,34980,35040,34610,34700,-40,-0.1,955300
23/09/19,34760,35040,34580,34740,-420,-1.2,1233600
23/09/15,35550,35690,35130,35160,30,0.1,1582700
23/09/14,34450,35180,34450,35130,1010,3.0,1833400
23/09/13,33850,34320,33830,34120,170,0.5,825500
23/09/12,33770,34070,33690,33950,390,1.2,991100
23/09/11,33870,33950,33460,33560,-160,-0.5,920700
23/09/08,34450,34460,33320,33720,-430,-1.3,1936600
23/09/07,34040,34590,34020,34150,40,0.1,1226500
23/09/06,33810,34270,33680,34110,280,0.8,1221200
23/09/05,33650,33960,33480,33830,-10,-0.0,1139800
23/09/04,33420,33930,33380,33840,510,1.5,1023800
23/09/01,33350,33620,33170,33330,-150,-0.4,1028300
